artist,album,track_name,danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo
Suicide Silence,The Black Crown,You Only Live Once,0.613,0.953,-4.936,0.153,0.0614,0.116,0.213,119.976
Chimaira,The Impossibility of Reason [Special Edition],Power Trip,0.504,0.939,-4.357,0.0507,0.0,0.103,0.402,94.048
Lamb of God,Hit The Wall,Hit The Wall,0.285,0.989,-3.3,0.132,0.0498,0.365,0.0974,116.141
Eye of the Enemy,Titan,Clay,0.476,0.953,-5.225,0.0877,0.863,0.149,0.0726,119.994
Gojira,L'Enfant Sauvage (Special Edition),The Gift of Guilt,0.197,0.977,-5.63,0.0693,0.694,0.18,0.0819,157.221
Lamb of God,Lamb of God (Deluxe Version),New Colossal Hate,0.383,0.995,-3.222,0.217,0.735,0.306,0.15,199.954
Orbit Culture,Flight of the Fireflies,Flight of the Fireflies,0.443,0.988,-2.314,0.125,3.09e-06,0.316,0.0559,103.497
Orbit Culture,Redfog,Redfog,0.381,0.993,-1.965,0.177,0.8,0.91,0.127,170.036
Slipknot,Vol. 3: The Subliminal Verses,Duality,0.354,0.982,-3.026,0.168,0.000294,0.204,0.194,143.772
Korn,Untouchables,Here To Stay,0.564,0.947,-4.998,0.0448,0.828,0.373,0.351,100.002
System Of A Down,Toxicity,Chop Suey!,0.417,0.934,-3.908,0.119,0.0015,0.132,0.287,127.066
Rammstein,"REISE, REISE",AMERIKA,0.608,0.885,-4.296,0.0963,1.33e-05,0.392,0.518,125.023
TOOL,Lateralus,Schism,0.567,0.714,-8.512,0.0302,0.417,0.186,0.191,107.441
Slipknot,All Hope Is Gone (10th Anniversary),Psychosocial,0.568,0.981,-3.889,0.0887,0.00275,0.0243,0.307,135.146
Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water,Take A Look Around,0.425,0.852,-5.607,0.046,0.306,0.0935,0.512,101.968
Disturbed,The Sickness,Down with the Sickness,0.695,0.876,-4.262,0.0553,6.89e-06,0.106,0.941,89.954
Drowning Pool,Sinner,Bodies,0.656,0.932,-3.405,0.0708,0.00147,0.144,0.544,130.936
Marilyn Manson,Holy Wood,The Fight Song,0.47,0.984,-3.783,0.0939,0.000224,0.212,0.0368,130.055
Rob Zombie,The Sinister Urge,Feel So Numb,0.566,0.889,-5.22,0.0426,0.00907,0.292,0.141,127.045
Metallica,St. Anger,St. Anger,0.396,0.947,-2.652,0.0477,0.0179,0.089,0.443,93.043
Avenged Sevenfold,City of Evil,Bat Country,0.541,0.968,-4.129,0.0396,8.28e-06,0.423,0.505,125.04
Disturbed,Ten Thousand Fists,Stricken,0.404,0.969,-2.938,0.195,0.0114,0.268,0.29,173.878
Mudvayne,Lost and Found,Happy?,0.546,0.97,-2.661,0.097,2.08e-05,0.275,0.383,100.065
Slipknot,Vol. 3: The Subliminal Verses,Before I Forget,0.291,0.974,-2.997,0.171,5.44e-06,0.886,0.348,134.724
Black Label Society,The Blessed Hellride,Stillborn,0.585,0.881,-4.719,0.0366,0.000939,0.376,0.425,107.028
System Of A Down,Mezmerize,B.Y.O.B.,0.538,0.981,-2.688,0.14,0.0,0.219,0.711,101.414
Bullet For My Valentine,The Poison,Tears Don't Fall,0.214,0.931,-3.347,0.143,3.09e-06,0.0797,0.233,162.115
Alice In Chains,Black Gives Way To Blue,Check My Brain,0.441,0.845,-3.315,0.0462,0.0533,0.723,0.304,113.989
Dope,Life,Die MF Die,0.657,0.96,-3.524,0.07,0.000997,0.109,0.567,126.02
In Flames,Clayman (Reissue 2014),Only for the Weak,0.458,0.909,-4.414,0.0446,0.758,0.283,0.49,105.007
Metallica,Death Magnetic,The Day That Never Comes,0.334,0.982,-2.293,0.0619,0.149,0.106,0.501,126.883
DragonForce,Inhuman Rampage,Through The Fire And Flames,0.153,0.953,-4.74,0.122,0.0062,0.366,0.14,199.892
Dream Theater,Octavarium,Panic Attack,0.494,0.96,-5.478,0.126,0.00519,0.113,0.127,125.969
Killswitch Engage,As Daylight Dies (Special Edition),My Curse,0.197,0.956,-2.908,0.0663,0.00992,0.261,0.209,177.018
Soil,Scars,Halo,0.525,0.914,-4.183,0.0705,0.00127,0.0573,0.461,111.145
System Of A Down,Toxicity,Toxicity,0.413,0.873,-4.151,0.0536,0.00249,0.204,0.48,116.68
Godsmack,Awake,Awake,0.395,0.756,-4.12,0.0544,0.00665,0.319,0.475,112.092
Children Of Bodom,Are You Dead Yet?,Are You Dead Yet?,0.461,0.961,-3.011,0.0479,0.14,0.308,0.416,96.009
Slipknot,Iowa,People = Shit,0.462,0.996,-2.973,0.231,0.00377,0.139,0.145,122.072
P.O.D.,Satellite (U.S. Version; WEA Distribution),Boom,0.559,0.931,-5.863,0.0721,1.24e-05,0.0624,0.644,90.911
Lamb of God,Ashes of the Wake (15th Anniversary),Laid to Rest,0.366,0.956,-3.725,0.108,0.00447,0.449,0.159,104.016
Airbourne,Runnin' Wild,"Too Much, Too Young, Too Fast",0.592,0.813,-7.154,0.0465,0.000966,0.336,0.384,114.038
Nine Inch Nails,With Teeth (Bonus Tracks),The Hand That Feeds,0.587,0.99,-4.496,0.0783,0.000668,0.104,0.486,127.992
Marilyn Manson,The Golden Age Of Grotesque,This Is The New Shit,0.566,0.869,-6.084,0.1,0.00346,0.114,0.647,178.113
Volbeat,Guitar Gangsters & Cadillac Blood,Still Counting,0.309,0.919,-3.131,0.0609,0.000225,0.423,0.322,103.891
Static-X,Shadow Zone,The Only,0.428,0.979,-2.929,0.225,0.0,0.129,0.292,104.84
Airbourne,Runnin' Wild,Runnin' Wild,0.503,0.96,-2.672,0.0626,0.578,0.274,0.489,162.022
Stone Sour,Come What(ever) May,30/30-150,0.512,0.919,-4.581,0.0894,0.000629,0.0899,0.602,163.035
Avenged Sevenfold,Avenged Sevenfold,Afterlife,0.487,0.949,-4.217,0.0798,2.91e-05,0.231,0.406,110.02
Lamb of God,Sacrament,Redneck,0.512,0.996,-2.1,0.114,0.000167,0.347,0.0601,130.931
Gojira,From Mars to Sirius,Flying Whales,0.267,0.924,-3.755,0.0818,0.0362,0.19,0.209,95.431
Mudvayne,L.D. 50,Dig,0.623,0.983,-3.548,0.151,0.0617,0.261,0.271,134.975
Iron Maiden,Brave New World (2015 Remaster),The Wicker Man - 2015 Remaster,0.424,0.98,-4.33,0.154,5.72e-06,0.129,0.296,101.502
Motörhead,Inferno,In the Name of Tragedy,0.449,0.994,-4.836,0.0824,2.13e-06,0.102,0.447,149.91
Five Finger Death Punch,War is the Answer,Bad Company,0.557,0.886,-4.196,0.0498,9.84e-05,0.0904,0.17,114.025
Fear Factory,Digimortal,Linchpin,0.693,0.871,-3.389,0.0844,2.01e-05,0.11,0.533,111.989
Three Days Grace,Life Starts Now,Break,0.578,0.897,-3.906,0.0357,0.0,0.0924,0.737,115.491
Amon Amarth,Twilight Of The Thunder God,Twilight Of The Thunder God,0.374,0.92,-4.653,0.0501,0.026,0.0802,0.278,191.014
Black Label Society,Mafia,Suicide Messiah,0.258,0.839,-5.726,0.0803,3.22e-05,0.0699,0.181,75.499
Anthrax,We've Come For You All + Bonus,Safe Home,0.293,0.965,-3.956,0.102,0.0,0.138,0.373,75.571
TOOL,"10,000 Days",Vicarious,0.506,0.877,-5.73,0.032,0.776,0.0712,0.302,114.589
Vision Of Disorder,From Bliss To Devestation,Living to Die,0.248,0.881,-5.147,0.076,3.72e-05,0.101,0.347,102.913
Rammstein,Mutter,Sonne,0.51,0.917,-4.806,0.0854,0.000133,0.396,0.313,75.098
HammerFall,Crimson Thunder,Hearts on Fire,0.577,0.901,-5.981,0.0492,3.59e-06,0.672,0.337,90.997
Arch Enemy,Doomsday Machine,Nemesis,0.246,0.954,-3.811,0.0975,0.291,0.126,0.164,97.553
Mastodon,Leviathan,Blood and Thunder,0.364,0.935,-6.548,0.0724,0.729,0.0317,0.478,92.717
Gojira,The way of all flesh,The art of dying,0.493,0.83,-5.983,0.105,0.543,0.102,0.114,137.967
Apocalyptica,Worlds Collide,I Don't Care (feat. Adam Gontier),0.298,0.795,-4.146,0.0371,0.0,0.117,0.0892,178.95
Picturesque,Back to Beautiful,Fake Fiction,0.289,0.948,,,,,0.529,
Any Given Day,Overpower,Savior,0.466,0.973,,,,,0.0996,
I Prevail,TRAUMA,Bow Down,0.426,0.959,,,,,0.372,
Pierce The Veil,Selfish Machines,Bulletproof Love,0.452,0.964,,,,,0.464,
"Our Hollow, Our Home",Hartsick,Loneshark,0.363,0.988,,,,,0.0857,
Wage War,Deadweight,Don't Let Me Fade Away,0.538,0.955,,,,,0.467,
Selena Gomez,13 Reasons Why (Season 2),Start Again (feat. Logic),0.564,0.722,,,,,0.276,
Boys of Fall,Years & Acoustics,Drown,0.465,0.415,,,,,0.318,
"Our Hollow, Our Home",Overcast,Overcast,0.39,0.977,,,,,0.127,
Architects,For Those That Wish To Exist,Giving Blood,0.448,0.877,,,,,0.199,
All Time Low,Everything Is Fine,Everything is Fine,0.39,0.908,,,,,0.52,
Palisades,Palisades,Let Down,0.576,0.813,,,,,0.251,
Palisades,Palisades,Better Chemicals,0.553,0.916,,,,,0.34,
Vulture Club|Hola Ghost,Christmassacrebleu,"Santa Claws, Kicks & Bites",0.267,0.951,,,,,0.563,
Dissonants,Comforting Lies // Unpleasant Truths,Comforting Lies // Unpleasant Truths,0.251,0.977,,,,,0.16,
Wildways,Into The Wild,Faka Faka Yeah,0.502,0.989,,,,,0.123,
Linkin Park,Hybrid Theory (Bonus Edition),In the End,0.556,0.864,,,,,0.4,
zebrahead,MFZB,Hello Tomorrow,0.475,0.943,,,,,0.496,
Architects,For Those That Wish To Exist,Giving Blood,0.448,0.877,,,,,0.199,
Architects,For Those That Wish To Exist,Giving Blood,0.448,0.877,,,,,0.199,
Annisokay,Aurora,Under Your Tattoos,0.469,0.961,,,,,0.157,
Palisades,Erase The Pain,Erase The Pain,0.466,0.864,,,,,0.481,
Outline In Color,Goodbye to My Friends,Goodbye to My Friends,0.443,0.83,,,,,0.186,
Buried In Verona,"Vultures Above, Lions Below",Done for Good,0.448,0.973,,,,,0.22,
Ghost Atlas,Gold Soul Coma,Sacred Organs,0.418,0.945,,,,,0.283,
Versus Me,(A)tension,(A)tension,0.463,0.967,,,,,0.446,
Wage War,Pressure,Who I Am,0.502,0.968,,,,,0.209,
The Hunna,I'd Rather Die Than Let You In,Young & Faded,0.614,0.825,,,,,0.168,
Flight Paths,Lucid Dreams,Lucid Dreams,0.507,0.82,,,,,0.642,
Picturesque,Picturesque EP,Just Exist,0.371,0.959,,,,,0.54,
Wind Walkers,The Lost Boys,New England Palm Trees,0.244,0.943,,,,,0.274,
Soul Extract,Centigrade,Centigrade,0.322,0.854,,,,,0.15,
Bullet For My Valentine,Gravity (Deluxe Edition),Radioactive,0.527,0.695,,,,,0.271,
Falling In Reverse,Coming Home (Deluxe Edition),Loser,0.449,0.98,,,,,0.0533,
Bad Omens,Finding God Before God Finds Me (Deluxe),Never Know,0.381,0.921,,,,,0.129,
Rise Against,Appeal To Reason,Savior,0.554,0.932,,,,,0.478,
Kingdom Of Giants,Passenger,Night Shift,0.524,0.972,,,,,0.265,
Adelitas Way,Shine On,All In,0.431,0.96,,,,,0.41,
Siamese,Home (feat. Drew York),Home (feat. Drew York),0.617,0.932,,,,,0.393,
Being As An Ocean,PROXY: An A.N.I.M.O. Story,Play Pretend,0.404,0.905,,,,,0.296,
Fame on Fire,LEVELS,Down,0.542,0.953,,,,,0.691,
Punk Goes,"Punk Goes Pop, Vol. 3",In My Head,0.549,0.829,,,,,0.596,
Punk Goes,"Punk Goes Pop, Vol. 4",Super Bass,0.644,0.923,,,,,0.431,
Falling In Reverse,Losing My Mind,Losing My Mind,0.544,0.894,,,,,0.41,
Our Last Night,Ignorance Is Bliss,Ignorance Is Bliss,0.598,0.895,,,,,0.512,
The Amity Affliction,Everyone Loves You… Once You Leave Them,Soak Me In Bleach,0.256,0.91,,,,,0.196,
Fire From The Gods,American Sun,Right Now,0.494,0.916,,,,,0.433,
Escape the Fate,Not My Problem (feat. Travis Barker),Not My Problem (feat. Travis Barker),0.565,0.94,,,,,0.68,
I Prevail,TRAUMA,Hurricane,0.389,0.885,,,,,0.187,
Dead by April,Heartbeat Failing,Heartbeat Failing,0.422,0.919,,,,,0.279,
Miss Fortune,The Day The Sun Died,The Day The Sun Died,0.313,0.929,,,,,0.256,
Pop Evil,Set Me Free,Set Me Free,0.472,0.941,,,,,0.295,
Animal DzhaZ,Legendy russkogo roka: Animal DzhaZ,Tri poloski,0.548,0.622,,,,,0.184,
HYDE,DEFEAT,DEFEAT,0.46,0.963,,,,,0.206,
Stigmata,Stigmata,Бог меня простит,0.487,0.891,,,,,0.151,
Dead by April,Heartbeat Failing,Heartbeat Failing,0.422,0.919,,,,,0.279,
Of Mice & Men,Obsolete,Obsolete,0.407,0.95,,,,,0.246,
Like A Storm,Catacombs,The Devil Inside,0.509,0.961,,,,,0.327,
Beartooth,The Past Is Dead,The Past Is Dead,0.44,0.95,,,,,0.51,
Falling In Reverse,Losing My Life,Losing My Life,0.446,0.927,,,,,0.274,
Silverstein,A Beautiful Place To Drown,Infinite,0.441,0.868,,,,,0.366,
Asking Alexandria,Like A House On Fire,They Don't Want What We Want (And They Don't Care),0.558,0.902,,,,,0.57,
Evil Not Alone,V (Пятый),Весна в большом городе,0.54,0.96,,,,,0.538,
Hollywood Undead,Five,California Dreaming,0.503,0.967,,,,,0.254,
The Raven Age,The Raven Age,Angel In Disgrace,0.433,0.996,,,,,0.063,
Our Last Night,Back To You,Back To You,0.606,0.905,,,,,0.508,
Until I Wake,Sinking Under,Sinking Under,0.4,0.978,,,,,0.317,
TRITIA,The Restructured,What Are You Waiting,0.38,0.894,,,,,0.556,
While She Sleeps,FAKERS PLAGUE,FAKERS PLAGUE,0.42,0.876,,,,,0.117,
Asking Alexandria,Asking Alexandria,Into The Fire,0.375,0.965,,,,,0.292,
Imminence,Turn the Light On (Deluxe Edition),To the Light - Japanese Bonus Track,0.356,0.953,,,,,0.205,
Dropout Kings,AudioDope,Going Rogue (feat. Landon Tewers),0.632,0.893,,,,,0.444,
As I Lay Dying,Shaped by Fire,My Own Grave,0.477,0.994,,,,,0.0397,
Novelists FR,Lost Cause,Lost Cause,0.423,0.926,,,,,0.221,
Concepts,Simple and Clean,Simple and Clean,0.424,0.925,,,,,0.415,
Architects,For Those That Wish To Exist,Animals,0.532,0.759,,,,,0.293,
ERRA,ERRA,Snowblood,0.529,0.983,,,,,0.359,
Bury the Darkness,Gone But Not Forgotten,Gone But Not Forgotten,0.395,0.978,,,,,0.367,
In Flames,Clayman (Reissue 2014),Only for the Weak,0.458,0.909,-4.414,0.0446,0.758,0.283,0.49,105.007
Five Finger Death Punch,"The Wrong Side Of Heaven And The Righteous Side Of Hell, Volume 1",Lift Me Up (feat. Rob Halford of Judas Priest),0.508,0.988,-3.613,0.165,0.0,0.209,0.174,75.018
Megadeth,Countdown To Extinction,Symphony Of Destruction,0.61,0.891,-5.452,0.0587,0.0928,0.0657,0.51,139.903
Machine Head,Is There Anybody Out There?,Is There Anybody Out There?,0.408,0.953,-3.883,0.226,0.0,0.338,0.291,177.94
Sabaton,Heroes,To Hell and Back,0.536,0.849,-4.702,0.0616,0.00197,0.104,0.305,127.002
Pantera,Cowboys from Hell,Cowboys from Hell,0.415,0.908,-9.701,0.0765,0.0345,0.082,0.437,114.816
Metallica,Death Magnetic,All Nightmare Long,0.268,0.974,-2.948,0.114,0.00106,0.0772,0.342,182.095
Five Finger Death Punch,Got Your Six,Wash It All Away,0.485,0.987,-3.1,0.0738,0.0,0.267,0.272,123.576
Amaranthe,MASSIVE ADDICTIVE,Drop Dead Cynical,0.286,0.914,-3.929,0.0905,0.000255,0.0838,0.485,140.042
Drowning Pool,Resilience (Deluxe),One Finger and a Fist,0.468,0.98,-4.086,0.168,1.58e-05,0.305,0.341,95.953
Iron Maiden,Fear of the Dark (2015 Remaster),Fear of the Dark - 2015 Remaster,0.308,0.866,-5.671,0.059,0.00141,0.232,0.227,109.825
Alestorm,Sunset on the Golden Age,Drink,0.509,0.855,-4.567,0.046,5.87e-05,0.0808,0.804,160.051
Machine Head,Bloodstone & Diamonds,Game Over,0.237,0.984,-4.017,0.174,3.83e-06,0.0841,0.285,98.231
Bullet For My Valentine,Venom (Deluxe Edition),You Want a Battle? (Here's a War),0.295,0.98,-4.075,0.0854,0.0,0.359,0.283,134.335
Rammstein,Mutter,Feuer frei!,0.491,0.966,-3.974,0.0463,0.346,0.153,0.223,95.141
Pantera,Vulgar Display of Power,Walk,0.43,0.704,-8.008,0.0804,0.00221,0.0933,0.703,118.242
Godsmack,Faceless,I Stand Alone,0.218,0.93,-4.438,0.0633,0.0,0.126,0.367,166.078
Killswitch Engage,As Daylight Dies (Special Edition),Holy Diver,0.369,0.995,-2.584,0.12,0.00589,0.241,0.27,185.985
Amon Amarth,Jomsviking,Raise Your Horns,0.46,0.876,-5.39,0.045,0.798,0.151,0.499,164.992
Children Of Bodom,"Holiday At Lake Bodom, 15 Years of Wasted Youth",I´m Shipping Up To Boston,0.334,0.973,-3.454,0.09,0.482,0.127,0.228,99.393
Bullet For My Valentine,The Poison,Tears Don't Fall,0.214,0.931,-3.347,0.143,3.09e-06,0.0797,0.233,162.115
Five Finger Death Punch,Got Your Six,Hell To Pay,0.554,0.979,-3.167,0.0663,0.0,0.226,0.498,96.002
Metallica,Hardwired…To Self-Destruct,Moth Into Flame,0.163,0.977,-3.585,0.0591,0.0052,0.0555,0.369,178.44
Hatebreed,The Concrete Confessional,Looking Down the Barrel of Today,0.486,0.986,-4.71,0.0818,0.048,0.29,0.501,180.085
Gojira,Magma,Stranded,0.513,0.88,-4.69,0.0309,0.00614,0.0824,0.495,92.358
Iron Maiden,Piece of Mind (2015 Remaster),The Trooper - 2015 Remaster,0.285,0.908,-4.601,0.0705,0.00909,0.311,0.669,159.756
Five Finger Death Punch,Got Your Six,Jekyll and Hyde,0.537,0.964,-4.157,0.113,1.14e-05,0.0564,0.712,155.017
Rammstein,MADE IN GERMANY 1995 - 2011 (SPECIAL EDITION),MEIN LAND,0.378,0.905,-5.025,0.0351,0.12,0.223,0.356,176.036
HammerFall,Crimson Thunder,Hearts on Fire,0.577,0.901,-5.981,0.0492,3.59e-06,0.672,0.337,90.997
Metallica,Hardwired…To Self-Destruct,Hardwired,0.128,0.991,-3.289,0.0582,0.00362,0.219,0.53,186.124
As I Lay Dying,Shaped by Fire,My Own Grave,0.477,0.994,-4.953,0.241,0.0129,0.0534,0.0397,125.058
Megadeth,Countdown To Extinction,Sweating Bullets - Remastered 2004,0.325,0.856,-6.547,0.188,0.00708,0.257,0.652,69.955
Sabaton,The Great War,Fields of Verdun,0.541,0.986,-5.315,0.103,0.0,0.105,0.484,96.954
Alestorm,No Grave but the Sea (Deluxe Edition),Alestorm,0.486,0.966,-3.693,0.0608,2.47e-06,0.312,0.572,74.955
System Of A Down,Toxicity,Chop Suey!,0.417,0.934,-3.908,0.119,0.0015,0.132,0.287,127.066
Rammstein,RAMMSTEIN,DEUTSCHLAND,0.521,0.895,-5.242,0.0442,0.349,0.0985,0.237,120.117
Iron Maiden,Somewhere in Time (2015 Remaster),Wasted Years - 2015 Remaster,0.314,0.959,-4.657,0.0908,0.000148,0.161,0.492,154.221
Within Temptation,The Reckoning,The Reckoning,0.31,0.825,-4.53,0.0563,0.0,0.641,0.475,89.885
